T,P,NaCl,xH2S,yH2O,r,H2O,H2S
323.15,400,5,0.02132,0.01999,1168.17,-4.6073,-2.0277
323.15,450,5,0.02165,0.02026,1170.97,-4.703,-2.0706
323.15,500,5,0.02196,0.02051,1173.74,-4.7852,-2.1022
323.15,550,5,0.02227,0.02073,1176.49,-4.8564,-2.1246
323.15,600,5,0.02256,0.02093,1179.2,-4.9186,-2.1395
323.15,1,6,0.00049,0.09395,1176.57,-0.0094,-0.0057
323.15,5,6,0.00263,0.01932,1176.16,-0.0479,-0.0286
323.15,10,6,0.00525,0.01002,1175.65,-0.0977,-0.0578
323.15,20,6,0.01024,0.00541,1174.72,-0.2043,-0.1184
323.15,30,6,0.01482,0.00394,1173.91,-0.324,-0.1827
323.15,40,6,0.01886,0.00327,1173.27,-0.4672,-0.2522
323.15,50,6,0.0221,0.00302,1172.89,-2.6118,-0.515
323.15,60,6,0.01724,0.01539,1175.08,-2.7955,-0.6795
323.15,70,6,0.01733,0.01556,1175.69,-2.9507,-0.816
323.15,80,6,0.01743,0.01571,1176.31,-3.0847,-0.932
323.15,90,6,0.01752,0.01586,1176.92,-3.2027,-1.0324
323.15,100,6,0.01761,0.016,1177.53,-3.3078,-1.1205
323.15,120,6,0.01779,0.01626,1178.74,-3.4888,-1.2686
323.15,140,6,0.01796,0.0165,1179.96,-3.6406,-1.3891
323.15,160,6,0.01813,0.01672,1181.16,-3.7709,-1.4892
323.15,180,6,0.01829,0.01693,1182.37,-3.8846,-1.574
323.15,200,6,0.01845,0.01712,1183.57,-3.9853,-1.6467
323.15,250,6,0.01882,0.01754,1186.54,-4.1942,-1.7896
323.15,300,6,0.01918,0.0179,1189.49,-4.3595,-1.8932
323.15,350,6,0.01952,0.01821,1192.41,-4.4946,-1.9702
323.15,400,6,0.01984,0.01849,1195.3,-4.6073,-2.0277
323.15,450,6,0.02014,0.01874,1198.16,-4.703,-2.0706
323.15,500,6,0.02043,0.01896,1200.99,-4.7852,-2.1022
323.15,550,6,0.02072,0.01916,1203.79,-4.8564,-2.1246
323.15,600,6,0.02099,0.01934,1206.57,-4.9186,-2.1395
348.15,1,0,0.00078,0.38679,974.32,-0.0071,-0.0045
348.15,5,0,0.00342,0.07924,974.45,-0.0358,-0.0227
348.15,10,0,0.00711,0.04079,974.58,-0.0728,-0.0458
348.15,20,0,0.01441,0.02168,974.82,-0.1505,-0.0932
348.15,30,0,0.02156,0.01545,975.03,-0.2347,-0.1425
348.15,40,0,0.02844,0.01248,975.22,-0.3279,-0.1941
348.15,50,0,0.03487,0.01087,975.41,-0.4356,-0.2488
348.15,60,0,0.038,0.01008,975.62,-0.5752,-0.3078
348.15,70,0,0.03889,0.03561,976.32,-2.0749,-0.4478
348.15,80,0,0.0392,0.0364,976.88,-2.2153,-0.5627
348.15,90,0,0.0395,0.03711,977.45,-2.3388,-0.662
348.15,100,0,0.0398,0.03777,978.01,-2.4488,-0.7492
348.15,120,0,0.04035,0.03896,979.14,-2.638,-0.8959
348.15,140,0,0.04089,0.04001,980.26,-2.7964,-1.0153
348.15,160,0,0.04141,0.04095,981.38,-2.9322,-1.1146
348.15,180,0,0.0419,0.04181,982.49,-3.0506,-1.1988
348.15,200,0,0.04238,0.04259,983.6,-3.1553,-1.2711
348.15,250,0,0.0435,0.04431,986.35,-3.3725,-1.4135
348.15,300,0,0.04455,0.04576,989.07,-3.5442,-1.5174
348.15,350,0,0.04554,0.04702,991.76,-3.6844,-1.595
348.15,400,0,0.04647,0.04813,994.42,-3.8016,-1.6537
348.15,450,0,0.04735,0.04912,997.04,-3.9011,-1.698
348.15,500,0,0.0482,0.05,999.64,-3.9868,-1.7311
348.15,550,0,0.04901,0.0508,1002.21,-4.0611,-1.7552
348.15,600,0,0.04978,0.05154,1004.75,-4.1262,-1.7721
348.15,1,1,0.00065,0.37385,1009.77,-0.0071,-0.0045
348.15,5,1,0.00296,0.07658,1009.76,-0.0358,-0.0227
348.15,10,1,0.00614,0.03942,1009.72,-0.0728,-0.0458
348.15,20,1,0.01238,0.02096,1009.62,-0.1505,-0.0932
348.15,30,1,0.01842,0.01494,1009.53,-0.2347,-0.1425
348.15,40,1,0.02416,0.01207,1009.46,-0.3279,-0.1941
348.15,50,1,0.02946,0.01051,1009.42,-0.4356,-0.2488
348.15,60,1,0.032,0.00974,1009.45,-0.5752,-0.3078
348.15,70,1,0.03277,0.03394,1010.21,-2.0749,-0.4478
348.15,80,1,0.03302,0.03468,1010.78,-2.2153,-0.5627
348.15,90,1,0.03327,0.03535,1011.34,-2.3388,-0.662
348.15,100,1,0.03351,0.03597,1011.91,-2.4488,-0.7492
348.15,120,1,0.03398,0.03709,1013.03,-2.638,-0.8959
348.15,140,1,0.03442,0.03807,1014.16,-2.7964,-1.0153
348.15,160,1,0.03484,0.03895,1015.28,-2.9322,-1.1146
348.15,180,1,0.03525,0.03975,1016.4,-3.0506,-1.1988
348.15,200,1,0.03564,0.04048,1017.51,-3.1553,-1.2711
348.15,250,1,0.03656,0.04208,1020.27,-3.3725,-1.4135
348.15,300,1,0.03742,0.04343,1023.01,-3.5442,-1.5174
348.15,350,1,0.03822,0.0446,1025.71,-3.6844,-1.595
348.15,400,1,0.03898,0.04562,1028.39,-3.8016,-1.6537
348.15,450,1,0.03971,0.04653,1031.03,-3.9011,-1.698
348.15,500,1,0.0404,0.04734,1033.65,-3.9868,-1.7311
348.15,550,1,0.04106,0.04808,1036.24,-4.0611,-1.7552
348.15,600,1,0.04169,0.04875,1038.79,-4.1262,-1.7721
348.15,1,2,0.00054,0.35997,1043.24,-0.0071,-0.0045
